"zip","city","county","pop"
"90011","Los Angeles","Los Angeles","111165"
"91331","Pacoima","Los Angeles","105458"
"90650","Norwalk","Los Angeles","105304"
"90201","Bell","Los Angeles","101965"
"90044","Los Angeles","Los Angeles","99443"
"92335","Fontana","San Bernardino","99306"
"92336","Fontana","San Bernardino","98346"
"94565","Pittsburg","Contra Costa","97671"
"90250","Hawthorne","Los Angeles","97072"
"90805","Long Beach","Los Angeles","95995"
"92503","Riverside","Riverside","95551"
"90280","South Gate","Los Angeles","94642"
"91342","Sylmar","Los Angeles","94595"
"91710","Chino","San Bernardino","91773"
"92683","Westminster","Orange","91105"
"92804","Anaheim","Orange","89915"
"92154","San Diego","San Diego","88979"
"92704","Santa Ana","Orange","88321"
"95076","Watsonville","Santa Cruz","86905"
"93307","Bakersfield","Kern","86832"
"92376","Rialto","San Bernardino","86085"
"91744","La Puente","Los Angeles","85421"
"92592","Temecula","Riverside","84930"
"94112","San Francisco","San Francisco","84707"
"93033","Oxnard","Ventura","84701"
"93722","Fresno","Fresno","84621"
"93727","Fresno","Fresno","84449"
"91911","Chula Vista","San Diego","84026"
"92126","San Diego","San Diego","82658"
"92345","Hesperia","San Bernardino","82110"
"91335","Reseda","Los Angeles","81824"
"92509","Riverside","Riverside","81383"
"91709","Chino Hills","San Bernardino","80701"
"94544","Hayward","Alameda","79747"
"95035","Milpitas","Santa Clara","79655"
"95823","Sacramento","Sacramento","79440"
"95630","Folsom","Sacramento","78159"
"93550","Palmdale","Los Angeles","77506"
"90706","Bellflower","Los Angeles","77195"
"91706","Baldwin Park","Los Angeles","76930"
"93257","Porterville","Tulare","76519"
"92553","Moreno Valley","Riverside","76102"
"94533","Fairfield","Solano","75909"
"90255","Huntington Park","Los Angeles","75019"
"91910","Chula Vista","San Diego","74855"
"94536","Fremont","Alameda","74837"
"94587","Union City","Alameda","74722"
"92805","Anaheim","Orange","74478"
"93535","Lancaster","Los Angeles","74264"
"93274","Tulare","Tulare","74000"
"90003","Los Angeles","Los Angeles","73730"
"92105","San Diego","San Diego","73623"
"92882","Corona","Riverside","73250"
"91730","Rancho Cucamonga","San Bernardino","72407"
"94110","San Francisco","San Francisco","72380"
"91766","Pomona","Los Angeles","72348"
